# Early Successional Microplot ANPP
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/686
# The newest version of the data https://lter.kbs.msu.edu/datatables/686.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/60.eml
#
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# sample_date		the date the plot was sampled
# treatment		the field treatment that was sampled
# replicate		the field replicate that was sampled
# method		the sample method used. 'sorted to species' means that an attempt was made to sort the biomass to species and any remaining biomass was classified as unsorted. 'not_ sorted' indicates that no attempt was made to sort the biomass to species and all of the biomass was classified as unsorted.
# disturbed		was the microplot tilled?
# fertilized		was the microplot  fertilized?
# biomass_g_m2	gramsPerSquareMeter	the dry weight of the biomass in grams/meter squared
# area_sampled	squareMeter	the area that was harvested for the sample in square meters
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
sample_date,treatment,replicate,method,disturbed,fertilized,biomass_g_m2,area_sampled
#,,,,,,gramsPerSquareMeter,squareMeter
2019-09-16,T7,R1,not_sorted,disturbed,fertilized,636.2,1
2019-09-16,T7,R1,not_sorted,disturbed,unfertilized,285.71,1
2019-09-16,T7,R2,not_sorted,disturbed,fertilized,734.72,1
2019-09-16,T7,R2,not_sorted,disturbed,unfertilized,407.05999999999995,1
2019-09-16,T7,R3,not_sorted,disturbed,unfertilized,265.64,1
2019-09-16,T7,R3,not_sorted,disturbed,fertilized,588.13,1
2019-09-16,T7,R4,not_sorted,disturbed,fertilized,665.81,1
2019-09-16,T7,R4,not_sorted,disturbed,unfertilized,336.5,1
2019-09-16,T7,R5,not_sorted,disturbed,unfertilized,565.26,1
2019-09-16,T7,R5,not_sorted,disturbed,fertilized,1036.27,1
2019-09-16,T7,R6,not_sorted,disturbed,unfertilized,403.58,1
2019-09-16,T7,R6,not_sorted,disturbed,fertilized,748.27,1
2019-09-11,T7,R3,not_sorted,undisturbed,unfertilized,585.65,1
2019-09-11,T7,R3,not_sorted,undisturbed,fertilized,1245.69,1
2019-09-11,T7,R4,not_sorted,undisturbed,fertilized,1199.67,1
2019-09-11,T7,R4,not_sorted,undisturbed,unfertilized,832.05,1
2019-09-11,T7,R6,not_sorted,undisturbed,unfertilized,1400.63,1
2019-09-11,T7,R6,not_sorted,undisturbed,fertilized,1907.1,1
2019-09-10,T7,R2,not_sorted,undisturbed,unfertilized,1040.79,1
2019-09-10,T7,R2,not_sorted,undisturbed,fertilized,1244.4299999999998,1
2018-09-14,T7,R3,not_sorted,disturbed,unfertilized,235.89,1
2018-09-14,T7,R3,not_sorted,disturbed,fertilized,643.81,1
2018-09-14,T7,R4,not_sorted,disturbed,fertilized,789.49,1
2018-09-14,T7,R4,not_sorted,disturbed,unfertilized,347.07,1
2018-09-13,T7,R1,not_sorted,disturbed,fertilized,680.5899999999999,1
2018-09-13,T7,R1,not_sorted,disturbed,unfertilized,280.06,1
2018-09-13,T7,R2,not_sorted,disturbed,fertilized,1040.19,1
2018-09-13,T7,R2,not_sorted,disturbed,unfertilized,527.6,1
2018-09-13,T7,R5,not_sorted,disturbed,unfertilized,840.19,1
2018-09-13,T7,R5,not_sorted,disturbed,fertilized,1119.4,1
2018-09-13,T7,R6,not_sorted,disturbed,unfertilized,354.88,1
2018-09-13,T7,R6,not_sorted,disturbed,fertilized,754.5899999999999,1
2017-09-06,T7,R1,not_sorted,disturbed,fertilized,623.2,1
2017-09-06,T7,R1,not_sorted,disturbed,unfertilized,263.4,1
2017-09-06,T7,R2,not_sorted,disturbed,fertilized,850.2,1
2017-09-06,T7,R2,not_sorted,disturbed,unfertilized,382,1
2017-09-06,T7,R3,not_sorted,disturbed,fertilized,668.4,1
2017-09-06,T7,R3,not_sorted,disturbed,unfertilized,289.3,1
2017-09-06,T7,R4,not_sorted,disturbed,unfertilized,267,1
2017-09-06,T7,R4,not_sorted,disturbed,fertilized,550.7,1
2017-09-06,T7,R5,not_sorted,disturbed,fertilized,1026,1
2017-09-06,T7,R5,not_sorted,disturbed,unfertilized,503,1
2017-09-06,T7,R6,not_sorted,disturbed,fertilized,860,1
2017-09-06,T7,R6,not_sorted,disturbed,unfertilized,431.8,1
2017-08-30,T7,R1,not_sorted,undisturbed,unfertilized,491,1
2017-08-30,T7,R1,not_sorted,undisturbed,fertilized,658.4,1
2017-08-30,T7,R2,not_sorted,undisturbed,fertilized,1164.1,1
2017-08-30,T7,R2,not_sorted,undisturbed,unfertilized,685.4,1
2017-08-30,T7,R3,not_sorted,undisturbed,fertilized,997,1
2017-08-30,T7,R3,not_sorted,undisturbed,unfertilized,502.9,1
2017-08-30,T7,R4,not_sorted,undisturbed,unfertilized,595.3,1
2017-08-30,T7,R4,not_sorted,undisturbed,fertilized,1039.5,1
2017-08-30,T7,R5,not_sorted,undisturbed,unfertilized,461.9,1
2017-08-30,T7,R5,not_sorted,undisturbed,fertilized,511.8,1
2017-08-30,T7,R6,not_sorted,undisturbed,fertilized,367.3,1
2017-08-30,T7,R6,not_sorted,undisturbed,unfertilized,571.6,1
2016-09-11,T7,R1,not_sorted,disturbed,unfertilized,416,1
2016-09-11,T7,R1,not_sorted,disturbed,fertilized,874,1
2016-09-11,T7,R2,not_sorted,disturbed,fertilized,1234,1
2016-09-11,T7,R2,not_sorted,disturbed,unfertilized,523,1
2016-09-11,T7,R3,not_sorted,disturbed,fertilized,1065,1
2016-09-11,T7,R3,not_sorted,disturbed,unfertilized,434,1
2016-09-11,T7,R4,not_sorted,disturbed,unfertilized,480,1
2016-09-11,T7,R4,not_sorted,disturbed,fertilized,1185,1
2016-09-11,T7,R5,not_sorted,disturbed,unfertilized,771,1
2016-09-11,T7,R5,not_sorted,disturbed,fertilized,1170,1
2016-09-11,T7,R6,not_sorted,disturbed,unfertilized,606,1
2016-09-11,T7,R6,not_sorted,disturbed,fertilized,964,1
2016-08-18,T7,R1,not_sorted,undisturbed,unfertilized,557.42,1
2016-08-18,T7,R1,not_sorted,undisturbed,fertilized,886.85,1
2016-08-18,T7,R2,not_sorted,undisturbed,fertilized,1181.32,1
2016-08-18,T7,R2,not_sorted,undisturbed,unfertilized,796.7,1
2016-08-18,T7,R3,not_sorted,undisturbed,unfertilized,763.88,1
2016-08-18,T7,R3,not_sorted,undisturbed,fertilized,942.96,1
2016-08-18,T7,R4,not_sorted,undisturbed,unfertilized,855.92,1
2016-08-18,T7,R4,not_sorted,undisturbed,fertilized,1031.2,1
2016-08-18,T7,R5,not_sorted,undisturbed,fertilized,680.78,1
2016-08-18,T7,R5,not_sorted,undisturbed,unfertilized,560.7,1
2016-08-18,T7,R6,not_sorted,undisturbed,unfertilized,543.12,1
2016-08-18,T7,R6,not_sorted,undisturbed,fertilized,982.91,1
2015-09-14,T7,R1,not_sorted,disturbed,fertilized,1073.63,1
2015-09-14,T7,R1,not_sorted,disturbed,unfertilized,531.08,1
2015-09-14,T7,R2,not_sorted,disturbed,fertilized,1119.14,1
2015-09-14,T7,R2,not_sorted,disturbed,unfertilized,481.77,1
2015-09-14,T7,R3,not_sorted,disturbed,unfertilized,383.09,1
2015-09-14,T7,R3,not_sorted,disturbed,fertilized,949.29,1
2015-09-14,T7,R4,not_sorted,disturbed,unfertilized,427.94,1
2015-09-14,T7,R4,not_sorted,disturbed,fertilized,886.1,1
2015-09-14,T7,R5,not_sorted,disturbed,fertilized,763.31,1
2015-09-14,T7,R5,not_sorted,disturbed,unfertilized,1005.14,1
2015-09-14,T7,R6,not_sorted,disturbed,unfertilized,564.47,1
2015-09-14,T7,R6,not_sorted,disturbed,fertilized,1137.53,1
2015-08-11,T7,R1,not_sorted,undisturbed,unfertilized,714.09,1
2015-08-11,T7,R1,not_sorted,undisturbed,fertilized,1207.35,1
2015-08-11,T7,R2,not_sorted,undisturbed,fertilized,1850.58,1
2015-08-11,T7,R2,not_sorted,undisturbed,unfertilized,947.14,1
2015-08-11,T7,R3,not_sorted,undisturbed,unfertilized,844.35,1
2015-08-11,T7,R3,not_sorted,undisturbed,fertilized,1286.65,1
2015-08-11,T7,R4,not_sorted,undisturbed,unfertilized,1228.36,1
2015-08-11,T7,R4,not_sorted,undisturbed,fertilized,1479.23,1
2015-08-11,T7,R5,not_sorted,undisturbed,fertilized,718.06,1
2015-08-11,T7,R5,not_sorted,undisturbed,unfertilized,616.89,1
2015-08-11,T7,R6,not_sorted,undisturbed,fertilized,1055.32,1
2015-08-11,T7,R6,not_sorted,undisturbed,unfertilized,871.05,1
2014-09-03,T7,R1,sorted_to_species,disturbed,unfertilized,365.7999999999999,1
2014-09-03,T7,R1,sorted_to_species,disturbed,fertilized,1115.2299999999998,1
2014-09-03,T7,R2,sorted_to_species,disturbed,unfertilized,530.1100000000001,1
2014-09-03,T7,R2,sorted_to_species,disturbed,fertilized,1120.2099999999996,1
2014-09-03,T7,R3,sorted_to_species,disturbed,unfertilized,279.37,1
2014-09-03,T7,R3,sorted_to_species,disturbed,fertilized,709.3100000000002,1
2014-09-03,T7,R4,sorted_to_species,disturbed,unfertilized,354.45,1
2014-09-03,T7,R4,sorted_to_species,disturbed,fertilized,1068.89,1
2014-09-03,T7,R5,sorted_to_species,disturbed,fertilized,1276.1200000000001,1
2014-09-03,T7,R5,sorted_to_species,disturbed,unfertilized,912.3199999999999,1
2014-09-03,T7,R6,sorted_to_species,disturbed,unfertilized,576.02,1
