"","anpp","trt_type","n","p","site_code","project_name","treatment_year","calendar_year","plot_id","community_type","block","public","k","precip","successional","pulse","plant_mani"
"1",63.5044497451916,"N",10,0,"sev.nfert","Nfert",1,2004,1,"0","0","1","0","0","0","0","0"
"2",58.390467745704,"N",10,0,"sev.nfert","Nfert",2,2005,1,"0","0","1","0","0","0","0","0"
"3",372.275381644879,"N",10,0,"sev.nfert","Nfert",3,2006,1,"0","0","1","0","0","0","0","0"
"4",153.089901648305,"N",10,0,"sev.nfert","Nfert",4,2007,1,"0","0","1","0","0","0","0","0"
"5",65.5340918148975,"N",10,0,"sev.nfert","Nfert",5,2008,1,"0","0","1","0","0","0","0","0"
"6",70.2930331112525,"N",10,0,"sev.nfert","Nfert",6,2009,1,"0","0","1","0","0","0","0","0"
"7",68.6311540441195,"N",10,0,"sev.nfert","Nfert",7,2010,1,"0","0","1","0","0","0","0","0"
"8",9.91485569303696,"N",10,0,"sev.nfert","Nfert",8,2011,1,"0","0","1","0","0","0","0","0"
"9",100.25820629376,"N",10,0,"sev.nfert","Nfert",9,2012,1,"0","0","1","0","0","0","0","0"
"10",138.865509852631,"N",10,0,"sev.nfert","Nfert",10,2013,1,"0","0","1","0","0","0","0","0"
"11",217.707109179692,"N",10,0,"sev.nfert","Nfert",11,2014,1,"0","0","1","0","0","0","0","0"
"12",85.8873478985204,"N",10,0,"sev.nfert","Nfert",12,2015,1,"0","0","1","0","0","0","0","0"
"13",207.449776543466,"N",10,0,"sev.nfert","Nfert",13,2016,1,"0","0","1","0","0","0","0","0"
"14",172.638661727563,"N",10,0,"sev.nfert","Nfert",14,2017,1,"0","0","1","0","0","0","0","0"
"15",89.9718293069732,"N",10,0,"sev.nfert","Nfert",15,2018,1,"0","0","1","0","0","0","0","0"
"16",35.2802103072572,"N",10,0,"sev.nfert","Nfert",16,2019,1,"0","0","1","0","0","0","0","0"
"17",10.8290575191833,"N",10,0,"sev.nfert","Nfert",17,2020,1,"0","0","1","0","0","0","0","0"
"18",35.2966751053554,"control",0,0,"sev.nfert","Nfert",1,2004,2,"0","0","1","0","0","0","0","0"
"19",70.5103645705298,"control",0,0,"sev.nfert","Nfert",2,2005,2,"0","0","1","0","0","0","0","0"
"20",157.935589837454,"control",0,0,"sev.nfert","Nfert",3,2006,2,"0","0","1","0","0","0","0","0"
"21",81.4362810190042,"control",0,0,"sev.nfert","Nfert",4,2007,2,"0","0","1","0","0","0","0","0"
"22",64.6556280565985,"control",0,0,"sev.nfert","Nfert",5,2008,2,"0","0","1","0","0","0","0","0"
"23",49.4468211363129,"control",0,0,"sev.nfert","Nfert",6,2009,2,"0","0","1","0","0","0","0","0"
"24",51.0532213896176,"control",0,0,"sev.nfert","Nfert",7,2010,2,"0","0","1","0","0","0","0","0"
"25",12.5022112778037,"control",0,0,"sev.nfert","Nfert",8,2011,2,"0","0","1","0","0","0","0","0"
"26",55.3044944363976,"control",0,0,"sev.nfert","Nfert",9,2012,2,"0","0","1","0","0","0","0","0"
"27",193.370897678465,"control",0,0,"sev.nfert","Nfert",10,2013,2,"0","0","1","0","0","0","0","0"
"28",67.9637980168654,"control",0,0,"sev.nfert","Nfert",11,2014,2,"0","0","1","0","0","0","0","0"
"29",85.3250201666989,"control",0,0,"sev.nfert","Nfert",12,2015,2,"0","0","1","0","0","0","0","0"
"30",227.736199609877,"control",0,0,"sev.nfert","Nfert",13,2016,2,"0","0","1","0","0","0","0","0"
"31",161.054960757548,"control",0,0,"sev.nfert","Nfert",14,2017,2,"0","0","1","0","0","0","0","0"
