,site_code,project_name,community_type,exp_year,treatment_year,calendar_year,treatment,trt_type,mean_change,S_PC,abs_S_PC,expH_PC,experiment_length,rrich,anpp,MAT,MAP
1,Alberta,CCD,0,Alberta::CCD::0,3,2009,CN-,drought,0.340191057,-0.131578947,0.131578947,0.044009465,3,41.23956597,191,1,430
2,Alberta,CCD,0,Alberta::CCD::0,3,2009,CN+,irr,0.241958201,-0.057017544,0.057017544,0.106307053,3,41.23956597,191,1,430
3,Alberta,CCD,0,Alberta::CCD::0,2,2008,CN-,drought,0.265187553,-0.181818182,0.181818182,-0.04996298,3,41.23956597,191,1,430
4,Alberta,CCD,0,Alberta::CCD::0,2,2008,CN+,irr,0.182937014,-0.071969697,0.071969697,0.053249905,3,41.23956597,191,1,430
5,Alberta,CCD,0,Alberta::CCD::0,1,2007,CN-,drought,0.209289125,-0.222222222,0.222222222,-0.145434004,3,41.23956597,191,1,430
6,Alberta,CCD,0,Alberta::CCD::0,1,2007,CN+,irr,0.203568056,-0.111111111,0.111111111,-0.03125742,3,41.23956597,191,1,430
7,ANG,watering,0,ANG::watering::0,13,2013,S,irr,0.551081391,-0.45,0.45,-0.52763769,13,42.52746528,175.9914971,10,1526
8,ANG,watering,0,ANG::watering::0,13,2013,W,irr,0.151675448,-0.1125,0.1125,-0.03943693,13,42.52746528,175.9914971,10,1526
9,ANG,watering,0,ANG::watering::0,12,2012,S,irr,0.54217634,-0.166666667,0.166666667,-0.104115114,13,42.52746528,175.9914971,10,1526
10,ANG,watering,0,ANG::watering::0,12,2012,W,irr,0.163384137,0,0,0.148608989,13,42.52746528,175.9914971,10,1526
11,ANG,watering,0,ANG::watering::0,11,2011,S,irr,0.440942722,-0.350649351,0.350649351,-0.569088918,13,42.52746528,175.9914971,10,1526
12,ANG,watering,0,ANG::watering::0,11,2011,W,irr,0.158465492,0.077922078,0.077922078,0.171592457,13,42.52746528,175.9914971,10,1526
13,ANG,watering,0,ANG::watering::0,10,2010,S,irr,0.532559714,-0.408333333,0.408333333,-0.67873914,13,42.52746528,175.9914971,10,1526
14,ANG,watering,0,ANG::watering::0,10,2010,W,irr,0.269681853,-0.083333333,0.083333333,-0.10649452,13,42.52746528,175.9914971,10,1526
15,ANG,watering,0,ANG::watering::0,9,2009,S,irr,0.451432773,0.012345679,0.012345679,-0.12940512,13,42.52746528,175.9914971,10,1526
16,ANG,watering,0,ANG::watering::0,9,2009,W,irr,0.307929937,0.172839506,0.172839506,0.151431413,13,42.52746528,175.9914971,10,1526
17,ANG,watering,0,ANG::watering::0,8,2008,S,irr,0.442815326,-0.117021277,0.117021277,-0.323867201,13,42.52746528,175.9914971,10,1526
18,ANG,watering,0,ANG::watering::0,8,2008,W,irr,0.265924794,0.095744681,0.095744681,0.125375267,13,42.52746528,175.9914971,10,1526
19,ANG,watering,0,ANG::watering::0,7,2007,S,irr,0.39640999,0.026315789,0.026315789,-0.221475159,13,42.52746528,175.9914971,10,1526
20,ANG,watering,0,ANG::watering::0,7,2007,W,irr,0.230280497,0.223684211,0.223684211,0.12868852,13,42.52746528,175.9914971,10,1526
21,ANG,watering,0,ANG::watering::0,6,2006,S,irr,0.403493804,0.104166667,0.104166667,0.209135014,13,42.52746528,175.9914971,10,1526
22,ANG,watering,0,ANG::watering::0,6,2006,W,irr,0.351415974,0.104166667,0.104166667,0.097862991,13,42.52746528,175.9914971,10,1526
23,ANG,watering,0,ANG::watering::0,5,2005,S,irr,0.4109047,-0.026666667,0.026666667,-0.026334731,13,42.52746528,175.9914971,10,1526
24,ANG,watering,0,ANG::watering::0,5,2005,W,irr,0.287095757,0.053333333,0.053333333,0.313410052,13,42.52746528,175.9914971,10,1526
25,ANG,watering,0,ANG::watering::0,4,2004,S,irr,0.353748889,-0.125,0.125,-0.037277908,13,42.52746528,175.9914971,10,1526
26,ANG,watering,0,ANG::watering::0,4,2004,W,irr,0.243292106,0.027777778,0.027777778,0.183592779,13,42.52746528,175.9914971,10,1526
27,ANG,watering,0,ANG::watering::0,3,2003,S,irr,0.219029804,0.181818182,0.181818182,0.043602926,13,42.52746528,175.9914971,10,1526
28,ANG,watering,0,ANG::watering::0,3,2003,W,irr,0.177995015,0.025974026,0.025974026,0.037906684,13,42.52746528,175.9914971,10,1526
29,ANG,watering,0,ANG::watering::0,2,2002,S,irr,0.360035165,0.042253521,0.042253521,0.045868581,13,42.52746528,175.9914971,10,1526
